code,name,n_pos,prev,auroc,ap,lift
444814009,Viral sinusitis (disorder),741,0.4493632504548211,0.48738607786834076,0.4457937698459225,0.9920565809391716
195662009,Acute viral pharyngitis (disorder),591,0.28345323741007195,0.4664557836535086,0.26986351300995515,0.9520565560503493
10509002,Acute bronchitis (disorder),499,0.22889908256880734,0.5435701861784247,0.2524359811543082,1.1028265308945728
88805009,Chronic congestive heart failure (disorder),229,0.08312159709618874,0.9006247687802313,0.4255393272764858,5.119479679679993
230690007,Stroke,206,0.08626465661641541,0.7851040730424568,0.25038426656429985,2.9025127599783884
22298006,Myocardial Infarction,153,0.05519480519480519,0.9293423873303935,0.6371152998751725,11.54303013891489
68496003,Polyp of colon,144,0.05737051792828685,0.8326964168310322,0.18149213694202795,3.163508775864515
44465007,Sprain of ankle,141,0.05302745393004889,0.5651409144936599,0.060994621434496445,1.1502460879030216
53741008,Coronary Heart Disease,137,0.05526421944332392,0.7409226626440686,0.12069418121379591,2.183947994372263
233604007,Pneumonia,133,0.04765317090648513,0.9689517246841709,0.4787393920122096,10.046328143654714
43878008,Streptococcal sore throat (disorder),133,0.05055112124667427,0.5120698062209166,0.05566962961217461,1.1012541015761759
65966004,Fracture of forearm,117,0.043542984741347227,0.7089427649738934,0.10407492727320031,2.3901652101118738
126906006,Neoplasm of prostate,111,0.04269230769230769,0.9861154847092976,0.7006395421872675,16.411376663845907
271737000,Anemia (disorder),111,0.06502636203866433,0.7747465510623406,0.17814599427893288,2.7395965066138595
64859006,Osteoporosis (disorder),98,0.040345821325648415,0.8357103459144275,0.21324619018049645,5.285459142330876
443165006,Pathological fracture due to osteoporosis (disorder),94,0.034892353377876766,0.9311702127659574,0.2862336037981309,8.2033332833209
49436004,Atrial Fibrillation,92,0.03639240506329114,0.7176456414649818,0.06872086844856794,1.8883299504128233
92691004,Carcinoma in situ of prostate (disorder),88,0.033846153846153845,0.9828595469021425,0.5888392056989715,17.397521986560523
36971009,Sinusitis (disorder),88,0.03256846780162842,0.5771762189608403,0.039121616596595465,1.2012114550454653
75498004,Acute bacterial sinusitis (disorder),88,0.03250831178426302,0.527660626887431,0.036554285527287955,1.1244596695723692
162573006,Suspected lung cancer (situation),84,0.030456852791878174,0.9330679915945437,0.25893104635023073,8.501569355165909
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),77,0.027827972533429706,0.9291652585332882,0.2616161123599035,9.401191985712376
254637007,Non-small cell lung cancer (disorder),76,0.0274765003615329,0.933980630013696,0.26709922175004636,9.721005886324056
39848009,Whiplash injury to neck,75,0.027522935779816515,0.47842012578616355,0.026430653933624766,0.9603137595883664
26929004,Alzheimer's disease (disorder),75,0.030048076923076924,0.8621451190967919,0.22575365125345845,7.513081513715097
263102004,Fracture subluxation of wrist,73,0.02676934360102677,0.5864396981552786,0.03232828586447882,1.207660760992243
72892002,Normal pregnancy,70,0.0273224043715847,0.9759286860811741,0.5673254508508544,20.764111501141272
713197008,Recurrent rectal polyp,69,0.025755879059350503,0.8765506135820978,0.19770502835046494,7.676112622476748
62106007,Concussion with no loss of consciousness,69,0.025442477876106196,0.44043604380178436,0.0212595186803158,0.8355915168263253
15777000,Prediabetes,61,0.03708206686930091,0.7571307335651598,0.0827453571048339,2.2314116793024876
58150001,Fracture of clavicle,61,0.02238532110091743,0.652870083197952,0.035840165377507116,1.6010565680935556
162864005,Body mass index 30+ - obesity (finding),60,0.04332129963898917,0.931622641509434,0.3936493156088416,9.086738368637427
16114001,Fracture of ankle,58,0.0212298682284041,0.5749168235627885,0.029150713592753896,1.3730991299207524
70704007,Sprain of wrist,56,0.020535386872020535,0.48261084665989196,0.026802691920308243,1.305195372619296
283371005,Laceration of forearm,50,0.018129079042784626,0.5245347119645495,0.019161077674544724,1.056925044527887
314994000,Metastasis from malignant tumor of prostate (disorder),50,0.01791472590469366,0.9782852973367385,0.48669182147370404,27.16713747466216
284551006,Laceration of foot,45,0.01642935377875137,0.5098490472655284,0.016155541717719938,0.9833339725518868
22325002,Abnormal gait (finding),41,0.01623119556611243,0.7705452225548413,0.059832343411807036,3.6862560843469407
723857007,Silent micro-hemorrhage of brain (disorder),41,0.01623119556611243,0.7675222064091868,0.058885373222688414,3.627913481963681
156073000,Fetus with unknown complication,29,0.010514865844815084,0.931299831945515,0.154090496969464,14.6545376083373
